Estadística de Defunciones según la Causa de Muerte
Resultados nacionales
Defunciones de menores de una semana por causas (lista perinatal),  sexo y edad.
Unidades: defunciones

;Total;Menos de 24 horas;De 1 día *;De 2 días;De 3 días;De 4 días;De 5 días;De 6 días;
01-93 I-XXII.Todas las causas;
    Ambos sexos;490.0;213.0;59.0;68.0;46.0;44.0;37.0;23.0;
    Hombres;273.0;114.0;35.0;40.0;28.0;24.0;23.0;9.0;
    Mujeres;217.0;99.0;24.0;28.0;18.0;20.0;14.0;14.0;
01-49 XVI.Afecciones originadas en el periodo perinatal;
    Ambos sexos;383.0;170.0;43.0;58.0;37.0;30.0;30.0;15.0;
    Hombres;210.0;88.0;25.0;35.0;23.0;14.0;19.0;6.0;
    Mujeres;173.0;82.0;18.0;23.0;14.0;16.0;11.0;9.0;
01 Feto y recién nacido afectados por condiciones de la madre no necesariamente relacionadas con el embarazo presente;
    Ambos sexos;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;
02-05 Feto y recién nacido afectados por complicaciones maternas del embarazo;
    Ambos sexos;32.0;31.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;16.0;15.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;16.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;
02 Feto y recién nacido afectados por incompetencia del cuello uterino;
    Ambos sexos;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
03 Feto y recién nacido afectados por ruptura prematura de membranas;
    Ambos sexos;9.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;5.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;
04 Feto y recién nacido afectados por embarazo múltiple;
    Ambos sexos;19.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;
05 Feto y recién nacido afectados por otras complicaciones maternas del embarazo y las no especificadas;
    Ambos sexos;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Hombres;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
    Mujeres;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;
